"pluginName","refId","sanitizedEnglishKey"
"018Auri.esp","3139C8","auri"
"0Kaidan.esp","002F9C","kaidan"
"3DNPC.esp","0028C4","hagravi_gray-wave"
"3DNPC.esp","002911","dar_rakki"
"3DNPC.esp","005A03","viranya"
"3DNPC.esp","006A48","sadrin_rolo"
"3DNPC.esp","009076","rongeir_ice-eye"
"3DNPC.esp","009077","shelur_ice-eye"
"3DNPC.esp","0095DC","jeerah-nur"
"3DNPC.esp","00D6F1","glathriel"
"3DNPC.esp","0118C7","moris"
"3DNPC.esp","0149DB","al_hassan"
"3DNPC.esp","017B4D","orondil"
"3DNPC.esp","01861F","fjona_s_familiar"
"3DNPC.esp","01914F","salty-throat"
"3DNPC.esp","01A7B4","melea_entius"
"3DNPC.esp","01B291","henrietta_entius"
"3DNPC.esp","01B800","duraz"
"3DNPC.esp","01DE4F","carmella"
"3DNPC.esp","0209F8","berg"
"3DNPC.esp","020FEA","larkspur"
"3DNPC.esp","023B73","okapi"
"3DNPC.esp","024C09","godrod"
"3DNPC.esp","025754","jaspar_gaerston"
"3DNPC.esp","02629B","iria"
"3DNPC.esp","027E01","rinori_imaryn"
"3DNPC.esp","0294C5","anum-la_the_swamp_knight"
"3DNPC.esp","02B044","clario_moorsley"
"3DNPC.esp","02BB74","jade"
"3DNPC.esp","02D6E7","gorr"
"3DNPC.esp","02E212","eldar"
"3DNPC.esp","0312A6","eleanor"
"3DNPC.esp","031DF9","zarlak"
"3DNPC.esp","0323BC","dagri_lon"
"3DNPC.esp","034F5A","gromash"
"3DNPC.esp","036AD4","olivia_meronin"
"3DNPC.esp","03C873","ingarte"
"3DNPC.esp","03E912","vahlokmir"
"3DNPC.esp","03E91C","lleyara"
"3DNPC.esp","041F62","jerulith"
"3DNPC.esp","042FF3","qa_dojo"
"3DNPC.esp","045B6C","callen"
"3DNPC.esp","04AD2D","relic"
"3DNPC.esp","04C825","fironet"
"3DNPC.esp","04F8F5","vigram"
"3DNPC.esp","050F2A","nitter"
"3DNPC.esp","052FEA","hjoromir"
"3DNPC.esp","053B2C","sonja"
"3DNPC.esp","053B9E","iris_the_elder"
"3DNPC.esp","054160","s_vashni"
"3DNPC.esp","0562AC","jolene"
"3DNPC.esp","058383","wander-lust"
"3DNPC.esp","059478","leifan"
"3DNPC.esp","059F9C","orenius"
"3DNPC.esp","05D600","gwyvane"
"3DNPC.esp","05F77E","beatrice"
"3DNPC.esp","05F782","urzub"
"3DNPC.esp","061E71","ureni"
"3DNPC.esp","06245B","asteria"
"3DNPC.esp","064525","frik"
"3DNPC.esp","06608A","griffith"
"3DNPC.esp","06608B","morrigan"
"3DNPC.esp","0671F4","two-tails"
"3DNPC.esp","06D979","haakon_iron-fist"
"3DNPC.esp","06EA09","peragorn"
